Dataset,Method,k,Inertia,Silhouette,Calinski_Harabasz,Davies_Bouldin,Dunn_Index,WCSS,BCSS,TSS,Variance_Ratio,Inter_Cluster_Distance,Intra_Cluster_Distance,Separation_Index
law,rawlsian,4,104839.71170882705,0.17509845171010105,4877.021002135789,1.5771428076630347,0.22769356374263328,104839.71170882705,82080.28829117255,186920.00000000003,0.7829121899832708,4.12455814113217,3.283556948283436,1.2561250516116034
adult_race,kmeans,5,243602.07331721333,0.1583670733942621,3662.5688714125677,1.5923391042270159,0.13925777655350632,243602.07331721333,118341.9266827851,361943.99999999994,0.48580016200717147,7.9807764234225305,3.9229610275151394,2.0343756584494215
adult_race,fairlet,5,347810.38705958804,-0.03220700854176669,306.36474736087695,3.8694268814312855,0.05826928084179284,347810.38705958804,14133.612940411782,361943.99999999994,0.04063597139780177,3.9190506451143134,5.56100330776241,0.7047380532293243
adult_race,bfkm,5,266382.89588339726,0.1307843486653106,2704.5995270149315,2.041707995157218,0.12273099187902722,266382.89588339726,95561.10411660363,361943.99999999994,0.3587358857996394,3.1617076910694193,4.01808905118335,0.7868684966397842
adult_race,fair_centroid,5,254132.5102649858,0.16005837741794082,3198.4013896418282,1.8023289928018187,0.10724198230136735,254132.5102649858,107811.489735013,361943.99999999994,0.4242333640139044,4.469205771797065,4.087658431123501,1.093341297249412
adult_race,postprocessing_nfp,5,249840.49846149655,0.16217568514078698,3382.8635836811827,1.722248025546424,0.1152671587481665,249840.49846149655,112103.50153850201,361943.99999999994,0.44870027969376036,4.524371868306256,4.017368442095906,1.1262028697437172
adult_race,postprocessing_gini,5,250216.07592448726,0.1618252732179531,3366.469354433125,1.7252689041985394,0.1152671587481665,250216.07592448726,111727.92407551127,361943.99999999994,0.44652576243434355,4.510223069879755,4.027210160835308,1.1199373486245532
adult_race,rawlsian,5,266352.54421642673,0.1306083533524212,2705.7668442269937,2.0416170201284944,0.12605581999153975,266352.54421642673,95591.4557835742,361943.99999999994,0.3588907178070755,3.1619674748127986,4.017849655866653,0.786980037990187
adult_combined,kmeans,5,243602.07331721333,0.1583670733942621,3662.5688714125677,1.5923391042270159,0.13925777655350632,243602.07331721333,118341.9266827851,361943.99999999994,0.48580016200717147,7.9807764234225305,3.9229610275151394,2.0343756584494215
adult_combined,fairlet,5,354191.128811665,-0.04419719752995132,165.02625094750493,3.588138046612167,0.06232199727358117,354191.128811665,7752.871188334898,361943.99999999994,0.02188894796531551,3.9665731815854266,5.609128645916135,0.707163880877182
adult_combined,bfkm,5,268802.54761162994,0.11567980768822718,2612.388540057984,2.2668481159191485,0.10087184339861215,268802.54761162994,93141.45238836922,361943.99999999994,0.3465050953421075,2.9663178606292497,3.9166581729872725,0.7573593940588415
adult_combined,fair_centroid,5,256122.03424678842,0.15871711187725907,3114.992654385004,1.7939515278393834,0.10942520961150223,256122.03424678842,105821.96575321024,361943.99999999994,0.4131700970766328,4.42250491934348,4.107118824191991,1.0767901072873234
adult_combined,postprocessing_nfp,5,249686.0458707213,0.1621487108791145,3389.6198632876694,1.7218082978619347,0.11517668783226706,249686.0458707213,112257.95412927719,361943.99999999994,0.44959642713634235,4.530430624685165,4.012997862452333,1.1289392070387574
adult_combined,postprocessing_gini,5,249720.85521977654,0.16214235223607107,3388.096454898267,1.7224492781259244,0.11510946629341033,249720.85521977654,112223.14478022195,361943.99999999994,0.44939436348420164,4.530210143720774,4.013243578988553,1.1288151477868957
adult_combined,rawlsian,5,266352.54421642673,0.1306083533524212,2705.7668442269937,2.0416170201284944,0.12605581999153975,266352.54421642673,95591.4557835742,361943.99999999994,0.3588907178070755,3.1619674748127986,4.017849655866653,0.786980037990187
compas_race,kmeans,2,163323.05472289788,0.17753748530495292,1696.845399887617,2.0096244332414037,0.09766846440706609,163323.05472289788,34951.94527710213,198275.0,0.21400496908659566,4.2002634925677045,6.015710745953966,0.6982156672663673
compas_race,fairlet,2,187169.28926372502,0.054726968075903284,470.4681028298943,3.788090756387889,0.05052356287138546,187169.28926372502,11105.710736274992,198275.0,0.05933511197249266,2.396681225837439,6.4554910375822505,0.3712624201450458
compas_race,bfkm,2,163323.05472289788,0.17753748530495292,1696.845399887617,2.0096244332414037,0.09766846440706609,163323.05472289788,34951.94527710213,198275.0,0.21400496908659566,4.2002634925677045,6.015710745953966,0.6982156672663673
compas_race,fair_centroid,2,165503.9434387075,0.17042814856503427,1570.0031194164142,2.0779879306841393,0.0857977252205778,165503.9434387075,32771.05656129254,198275.0,0.19800770833855647,4.069978156116514,6.027780096092031,0.6752034897150924
compas_race,postprocessing_nfp,2,163346.28077666915,0.17740551952336697,1695.476709998943,2.0109366094946104,0.09762443356319732,163346.28077666915,34928.71922333089,198275.0,0.21383235086378397,4.198369932070244,6.016750140391306,0.6977803355811611
compas_race,postprocessing_gini,2,163598.2774361191,0.17638903758839397,1680.6517618522823,2.019570591863363,0.09727163557761666,163598.2774361191,34676.72256388095,198275.0,0.21196263864955003,4.183197742069285,6.021458432817414,0.6947150410057693
compas_race,rawlsian,2,163323.04833302688,0.17754293512761757,1696.8457764903756,2.0097024512296358,0.09766640348620062,163323.04833302688,34951.95166697315,198275.0,0.2140050165834753,4.200174862007935,6.015815584895909,0.698188766383305
compas_combined,kmeans,2,163323.05472289788,0.17753748530495292,1696.845399887617,2.0096244332414037,0.09766846440706609,163323.05472289788,34951.94527710213,198275.0,0.21400496908659566,4.2002634925677045,6.015710745953966,0.6982156672663673
compas_combined,fairlet,2,195109.88025785392,-0.006333411485399729,128.62615876914876,3.9351004216167045,0.04712851124011034,195109.88025785392,3165.1197421460865,198275.0,0.01622224224607753,2.2356304993449445,6.240555961262959,0.3582422004100576
compas_combined,bfkm,2,163366.38776948221,0.17754200168359144,1694.292137782591,2.0109833761508544,0.08991338802402016,163366.38776948221,34908.612230517814,198275.0,0.21368295343455557,4.1976589642543125,6.0162457456770415,0.6977206619710523
compas_combined,fair_centroid,2,165756.64525502763,0.16835304975002527,1555.52155617161,2.0839912091106503,0.08551882795544395,165756.64525502763,32518.354744972392,198275.0,0.19618130359081978,4.056748134295106,6.022953563194127,0.673547968074273
compas_combined,postprocessing_nfp,2,163351.27186766255,0.17736878507090773,1695.1826404243734,2.0111238951239288,0.09761745835984763,163351.27186766255,34923.72813233748,198275.0,0.21379526301228066,4.19806996122335,6.016900696826024,0.697713020831119
compas_combined,postprocessing_gini,2,163624.1697172147,0.17627578872617972,1679.1311075071528,2.0204623646063964,0.09723531359182769,163624.1697172147,34650.830282785355,198275.0,0.21177085477451796,4.181635703474605,6.021990816050744,0.6943942345991396
compas_combined,rawlsian,2,163323.04833302688,0.17754293512761757,1696.8457764903756,2.0097024512296358,0.09766640348620062,163323.04833302688,34951.95166697315,198275.0,0.2140050165834753,4.200174862007935,6.015815584895909,0.698188766383305
law_race,kmeans,3,101968.94460343683,0.28442549211155416,6072.022668873563,1.2697266827735014,0.2972049249059525,101968.94460343683,66259.05539656279,168228.0,0.6497964223739701,3.908951557753996,3.302167963576125,1.183753098228458
law_race,fairlet,3,160907.2044227173,0.06146807927516111,425.1467454011638,3.182904427258274,0.14060297157828422,160907.2044227173,7320.795577282682,168228.0,0.04549700309285289,2.03994085219153,3.9642258354113475,0.5145874470544274
law_race,bfkm,3,106734.90651894853,0.1840308120116805,5383.639062181253,1.8598759460552294,0.1856177663729009,106734.90651894853,61493.09348105044,168228.0,0.57612917354393,2.993691170121835,3.1566421128129996,0.9483783916999216
law_race,fair_centroid,3,110753.42393259986,0.26069971070986514,4849.251219435509,1.4020160961985908,0.2551345052031128,110753.42393259986,57474.57606739984,168228.0,0.5189417539125164,3.613704315891282,3.42752995018794,1.0543173563496164
law_race,postprocessing_nfp,3,101976.51503153789,0.28424292200733076,6070.878192849875,1.2702266253192567,0.2971316709820262,101976.51503153789,66251.48496846175,168228.0,0.6496739464765237,3.9085875306438136,3.301937713214896,1.1837253970603399
law_race,postprocessing_gini,3,102161.24644186016,0.28342780584539123,6043.003586251009,1.2729862876581277,0.28867333906873366,102161.24644186016,66066.75355813946,168228.0,0.6466909504254921,3.905583505256621,3.3036414418863047,1.1822056279287443
law_race,rawlsian,3,105511.57816176803,0.16962790073618714,5554.400892088264,1.7561959760063799,0.22792792451027122,105511.57816176803,62716.42183823265,168228.0,0.5944032202994558,3.043159649137591,3.152923264165859,0.965186715364826
law_combined,kmeans,3,101968.94460343683,0.28442549211155416,6072.022668873563,1.2697266827735014,0.2972049249059525,101968.94460343683,66259.05539656279,168228.0,0.6497964223739701,3.908951557753996,3.302167963576125,1.183753098228458
law_combined,fairlet,3,160546.56995790367,0.14375537970608776,447.09222406427233,2.503182190219707,0.14282938665776665,160546.56995790367,7681.430042096361,168228.0,0.0478454945758759,2.892633138452903,3.6896487722042175,0.7839860423150323
law_combined,bfkm,3,101968.72159721941,0.28440362298650484,6072.056384902874,1.2698871517848709,0.2971908148711678,101968.72159721941,66259.27840278021,168228.0,0.6498000304888302,3.908882000958138,3.30208809985538,1.1837606637840261
law_combined,fair_centroid,3,107719.12159154605,0.2692832520721739,5249.070043773654,1.4433945409659303,0.27258626870996727,107719.12159154605,60508.87840845376,168228.0,0.5617282940525072,3.54621205531434,3.48195831318886,1.0184533346887301
law_combined,postprocessing_nfp,3,101968.89570689952,0.2843569871328937,6072.030061466872,1.2700641348842119,0.2971695052079535,101968.89570689952,66259.10429310013,168228.0,0.6497972134910238,3.9087775058992165,3.3019550553292194,1.183776714219841
law_combined,postprocessing_gini,3,101968.89570689952,0.2843569871328937,6072.030061466872,1.2700641348842119,0.2971695052079535,101968.89570689952,66259.10429310013,168228.0,0.6497972134910238,3.9087775058992165,3.3019550553292194,1.183776714219841
law_combined,rawlsian,3,105511.57816176803,0.16962790073618714,5554.400892088264,1.7561959760063799,0.22792792451027122,105511.57816176803,62716.42183823265,168228.0,0.5944032202994558,3.043159649137591,3.152923264165859,0.965186715364826
