Approach,Dataset,Method,k,N_runs,Inertia_mean,Inertia_std,Silhouette_mean,Silhouette_std,Calinski_Harabasz_mean,Calinski_Harabasz_std,Davies_Bouldin_mean,Davies_Bouldin_std,BCSS_mean,BCSS_std,Variance_Ratio_mean,Variance_Ratio_std,Balance_mean,Balance_std,SPD_mean,SPD_std,Disparate_Impact_mean,Disparate_Impact_std,Entropy_mean,Entropy_std
approach2,adult_combined,postprocessing_gini,5,30,250060.4112,3796.1233,0.1517,0.0095,3375.7896,166.7643,1.6984,0.1127,111883.5888,3796.1233,0.4478,0.0221,0.5136,0.0379,0.1195,0.0141,0.5787,0.052,0.8982,0.0327
approach2,adult_combined,rawlsian,5,30,266051.7297,4959.8636,0.1321,0.0093,2720.8547,188.0027,2.0262,0.1688,95892.2703,4959.8636,0.3609,0.0249,0.4402,0.0301,0.1595,0.0051,0.4688,0.0375,0.7811,0.017
approach2,compas_race,kmeans,2,30,163323.0556,0.0213,0.1775,0.0,1696.8454,0.0013,2.0097,0.0,34951.9444,0.0213,0.214,0.0,0.7009,0.0,0.0476,0.0004,0.909,0.0007,0.9755,0.0
approach2,compas_race,fairlet,2,30,187071.3164,314.7794,0.0551,0.0016,474.8909,14.1445,3.7558,0.067,11203.6836,314.7794,0.0599,0.0018,0.7672,0.0042,0.1516,0.0051,0.7319,0.006,0.9662,0.0016
approach2,compas_race,bfkm,2,30,163323.3225,0.1778,0.1775,0.0,1696.8296,0.0105,2.0096,0.0,34951.6775,0.1778,0.214,0.0,0.7009,0.0,0.0474,0.0002,0.9095,0.0004,0.9756,0.0
approach2,compas_race,fair_centroid,2,30,165500.7354,28.1653,0.1704,0.0001,1570.1875,1.6174,2.0778,0.001,32774.2646,28.1653,0.198,0.0002,0.7057,0.0001,0.0651,0.0004,0.8776,0.0008,0.9746,0.0
approach2,compas_race,postprocessing_nfp,2,30,163346.3815,0.1496,0.1774,0.0,1695.4708,0.0088,2.0109,0.0,34928.6185,0.1496,0.2138,0.0,0.7002,0.0,0.0444,0.0004,0.9149,0.0007,0.9757,0.0
approach2,compas_race,postprocessing_gini,2,30,163598.384,0.1503,0.1764,0.0,1680.6455,0.0088,2.0195,0.0,34676.616,0.1503,0.212,0.0,0.7002,0.0,0.0444,0.0004,0.9149,0.0007,0.9757,0.0
approach2,compas_race,rawlsian,2,30,163323.0505,0.003,0.1775,0.0,1696.8457,0.0002,2.0097,0.0,34951.9495,0.003,0.214,0.0,0.7009,0.0,0.0476,0.0004,0.9091,0.0008,0.9755,0.0
approach2,compas_combined,kmeans,2,30,163323.0556,0.0213,0.1775,0.0,1696.8454,0.0013,2.0097,0.0,34951.9444,0.0213,0.214,0.0,0.3204,0.0,0.0609,0.0004,0.8848,0.0007,0.7964,0.0001
approach2,compas_combined,fairlet,2,30,195448.8369,177.7822,-0.0095,0.0031,114.6589,7.3176,4.4676,0.2355,2826.1631,177.7822,0.0145,0.0009,0.5951,0.0043,0.3406,0.0188,0.4572,0.0133,0.8168,0.0073
approach2,compas_combined,bfkm,2,30,163366.8284,0.3302,0.1775,0.0,1694.2662,0.0195,2.0109,0.0,34908.1716,0.3302,0.2137,0.0,0.3204,0.0,0.0587,0.0003,0.8888,0.0005,0.7966,0.0
approach2,compas_combined,fair_centroid,2,30,165754.2258,6.8181,0.1684,0.0,1555.66,0.3901,2.0838,0.0003,32520.7742,6.8181,0.1962,0.0,0.3203,0.0,0.0528,0.0005,0.8994,0.0009,0.797,0.0001
approach2,compas_combined,postprocessing_nfp,2,30,163351.3863,0.1703,0.1774,0.0,1695.1759,0.01,2.0111,0.0,34923.6137,0.1703,0.2138,0.0,0.32,0.0,0.0548,0.0004,0.8957,0.0007,0.7965,0.0001
approach2,compas_combined,postprocessing_gini,2,30,163624.2888,0.1772,0.1763,0.0,1679.1241,0.0104,2.0204,0.0,34650.7112,0.1772,0.2118,0.0,0.32,0.0,0.0548,0.0004,0.8957,0.0007,0.7965,0.0001
approach2,compas_combined,rawlsian,2,30,163323.1587,0.1821,0.1775,0.0,1696.8393,0.0107,2.0097,0.0001,34951.8413,0.1821,0.214,0.0,0.3204,0.0,0.0608,0.0006,0.885,0.001,0.7964,0.0001
approach2,law_race,kmeans,3,30,102795.5331,1498.4876,0.2572,0.0493,5951.2486,218.947,1.3829,0.2047,65432.4669,1498.4876,0.6369,0.0234,0.0745,0.0038,0.2877,0.0506,0.4988,0.1344,0.3204,0.012
approach2,law_race,fairlet,3,30,161033.7086,253.0122,0.0521,0.015,417.4961,15.344,3.4302,0.3597,7194.2914,253.0122,0.0447,0.0016,0.6745,0.0009,0.4182,0.0226,0.1598,0.0124,0.7192,0.0043
approach2,law_race,bfkm,3,30,105490.0397,1460.7305,0.1866,0.0385,5560.3666,211.1596,1.7335,0.1894,62737.9603,1460.7305,0.595,0.0226,0.075,0.007,0.3249,0.0543,0.354,0.1104,0.2988,0.0129
approach2,law_race,fair_centroid,3,30,111861.3082,1810.9734,0.2354,0.0456,4712.2864,223.0685,1.5365,0.2408,56366.6918,1810.9734,0.5043,0.0239,0.0697,0.0067,0.3291,0.0353,0.3801,0.0803,0.2923,0.0012
approach2,law_race,postprocessing_nfp,3,30,102806.3291,1504.7112,0.2571,0.0493,5949.6681,219.7945,1.3833,0.2052,65421.6709,1504.7112,0.6367,0.0235,0.0744,0.0037,0.2872,0.0506,0.4993,0.1344,0.3202,0.0121
approach2,law_race,postprocessing_gini,3,30,103006.7713,1532.4036,0.2563,0.0492,5920.0123,222.9045,1.3867,0.2062,65221.2287,1532.4036,0.6335,0.0239,0.0744,0.0037,0.2872,0.0506,0.4993,0.1344,0.3202,0.0121
approach2,law_race,rawlsian,3,30,105512.7769,0.4864,0.1675,0.0008,5554.2316,0.0687,1.7553,0.0004,62715.2231,0.4864,0.5944,0.0,0.0815,0.0006,0.3799,0.0003,0.2546,0.0018,0.2988,0.0015
approach2,law_combined,kmeans,3,30,102795.5331,1498.4876,0.2572,0.0493,5951.2486,218.947,1.3829,0.2047,65432.4669,1498.4876,0.6369,0.0234,0.5895,0.0123,0.0056,0.0048,0.9531,0.038,0.9496,0.0064
approach2,law_combined,fairlet,3,30,160701.6007,384.0103,0.1504,0.0113,437.702,23.3671,2.4061,0.1408,7526.3993,384.0103,0.0468,0.0025,0.7668,0.0102,0.1893,0.0108,0.5682,0.0168,0.9259,0.0106
approach2,law_combined,bfkm,3,30,105455.8873,1464.8211,0.1867,0.0385,5565.2116,211.8643,1.7322,0.1892,62772.1127,1464.8211,0.5956,0.0227,0.5571,0.0234,0.012,0.0044,0.894,0.04,0.9341,0.0125
approach2,law_combined,fair_centroid,3,30,107868.4513,235.6424,0.245,0.0436,5228.9365,31.7381,1.5259,0.1535,60359.5487,235.6424,0.5596,0.0034,0.5896,0.0217,0.0057,0.0055,0.9523,0.0369,0.9496,0.0091
approach2,law_combined,postprocessing_nfp,3,30,102795.5331,1498.4876,0.2572,0.0493,5951.2486,218.947,1.3829,0.2047,65432.4669,1498.4876,0.6369,0.0234,0.5895,0.0123,0.0056,0.0048,0.9531,0.038,0.9496,0.0064
approach2,law_combined,postprocessing_gini,3,30,102795.5331,1498.4876,0.2572,0.0493,5951.2486,218.947,1.3829,0.2047,65432.4669,1498.4876,0.6369,0.0234,0.5895,0.0123,0.0056,0.0048,0.9531,0.038,0.9496,0.0064
approach2,law_combined,rawlsian,3,30,105512.7769,0.4864,0.1675,0.0008,5554.2316,0.0687,1.7553,0.0004,62715.2231,0.4864,0.5944,0.0,0.5659,0.0015,0.0146,0.0006,0.8816,0.0029,0.9372,0.0006
