Dataset,Method,Best_k(Silhouette),Sil@k=2,Sil@best_k,Sil@k=10,Sil_range(max-min),Bal@k=2,Bal@best_k,Bal@k=10,Bal_range(max-min),SPD@k=2,SPD@best_k,SPD@k=10,SPD_range(max-min)
compas_race,PP-Gini,2,0.1764,0.1764,0.1019,0.08,0.7003,0.7003,0.5067,0.2203,0.0447,0.0447,0.0538,0.0862
compas_race,Rawlsian,2,0.1775,0.1775,0.0886,0.0996,0.701,0.701,0.5506,0.1597,0.0479,0.0479,0.0522,0.0846
compas_combined,K-Means,2,0.1775,0.1775,0.1028,0.0792,0.3204,0.3204,0.308,0.0537,0.0612,0.0612,0.0157,0.0463
compas_combined,Fairlet,2,-0.0113,-0.0113,-0.1488,0.1375,0.5979,0.5979,0.9053,0.3074,0.3286,0.3286,0.1198,0.2244
compas_combined,BFKM,2,0.1775,0.1775,0.1054,0.0786,0.3204,0.3204,0.3231,0.0107,0.0586,0.0586,0.0136,0.045
compas_combined,CCF,2,0.1684,0.1684,0.0994,0.0764,0.3203,0.3203,0.3414,0.0843,0.0532,0.0532,0.015,0.0384
compas_combined,PP-NFP,2,0.1774,0.1774,0.1024,0.0795,0.32,0.32,0.2921,0.0385,0.0551,0.0551,0.0144,0.0416
compas_combined,PP-Gini,2,0.1763,0.1763,0.1019,0.079,0.32,0.32,0.2921,0.0385,0.0551,0.0551,0.0144,0.0416
compas_combined,Rawlsian,2,0.1775,0.1775,0.0886,0.0996,0.3204,0.3204,0.2918,0.0286,0.0612,0.0612,0.0122,0.0492
law_race,K-Means,3,0.2652,0.2844,0.1561,0.1283,0.0734,0.0723,0.096,0.0237,0.4241,0.2595,0.1046,0.3195
law_race,Fairlet,2,0.1122,0.1122,-0.083,0.1951,0.5151,0.5151,0.901,0.3859,0.5389,0.5389,0.1607,0.3783
law_race,BFKM,2,0.2651,0.2651,0.1469,0.1247,0.0733,0.0733,0.1074,0.034,0.4225,0.4225,0.093,0.3296
law_race,CCF,3,0.2416,0.2607,0.1203,0.1404,0.0735,0.066,0.0951,0.029,0.4478,0.3096,0.1214,0.3264
law_race,PP-NFP,3,0.2651,0.2842,0.1553,0.129,0.0733,0.0723,0.0953,0.023,0.4232,0.2589,0.1044,0.3188
law_race,PP-Gini,3,0.2644,0.2834,0.1549,0.1286,0.0733,0.0723,0.0953,0.023,0.4232,0.2589,0.1044,0.3188
law_race,Rawlsian,2,0.2652,0.2652,0.1486,0.1242,0.0735,0.0735,0.1018,0.0314,0.4247,0.4247,0.1097,0.3151
